PO_Number,PR_Number,Vendor_ID,Vendor_Name,Region,Buyer,Material_ID,Material_Name,Category,PO_Date,GR_Date,Invoice_Date,Payment_Date,Quantity,Unit_Price,PO_Value,Tax_Amount,Invoice_Amount,Payment_Terms,PO_Status
4500010001,PR-10001,V001,Tata Steel Ltd,West,Rohit Verma,M001,Cold Rolled Steel,Raw Material,2024-01-05,2024-01-14,2024-01-16,2024-02-15,500,1200,600000,108000,708000,Net 30,Paid
4500010002,PR-10002,V002,Infosys BPO,South,Priya Das,M002,IT Support Services,Services,2024-01-08,2024-01-18,2024-01-20,2024-02-20,1,250000,250000,45000,295000,Net 45,Paid
4500010003,PR-10003,V003,Reliance Chemicals,West,Rohit Verma,M003,Industrial Solvent,Chemicals,2024-01-10,2024-01-20,2024-01-22,2024-02-10,200,800,160000,28800,188800,Net 30,Paid
4500010004,PR-10004,V004,Mahindra Logistics,West,Suresh Nair,M004,Forklift Machine,Capital Goods,2024-01-12,2024-01-25,2024-01-27,2024-03-27,2,850000,1700000,306000,2006000,Net 60,Paid
4500010005,PR-10005,V005,HCL Technologies,North,Amit Joshi,M002,Software License,Services,2024-01-15,2024-01-28,2024-01-30,2024-03-15,10,45000,450000,81000,531000,Net 60,Paid
4500010006,PR-10006,V006,JSW Steel,South,Priya Das,M001,Hot Rolled Steel,Raw Material,2024-01-18,2024-01-28,2024-01-30,2024-02-28,800,950,760000,136800,896800,Net 30,Paid
4500010007,PR-10007,V001,Tata Steel Ltd,West,Rohit Verma,M005,Stainless Steel Pipes,Raw Material,2024-02-01,2024-02-10,2024-02-12,2024-03-12,300,2200,660000,118800,778800,Net 30,Paid
4500010008,PR-10008,V007,Siemens India,North,Amit Joshi,M006,PLC Controllers,Electronics,2024-02-05,2024-02-18,2024-02-20,2024-04-20,15,35000,525000,94500,619500,Net 60,Paid
4500010009,PR-10009,V008,BASF India,West,Rohit Verma,M003,Epoxy Resin,Chemicals,2024-02-08,2024-02-18,2024-02-20,2024-03-20,150,1500,225000,40500,265500,Net 30,Paid
4500010010,PR-10010,V009,Blue Dart Express,East,Neha Kapoor,M007,Courier Services,Services,2024-02-10,2024-02-15,2024-02-17,2024-03-18,1,180000,180000,32400,212400,Net 30,Paid
4500010011,PR-10011,V002,Infosys BPO,South,Priya Das,M008,Cloud Hosting,Services,2024-02-12,2024-02-22,2024-02-24,2024-04-09,1,320000,320000,57600,377600,Net 45,Paid
4500010012,PR-10012,V010,Bharat Heavy Electricals,North,Amit Joshi,M009,Transformer Unit,Capital Goods,2024-02-15,2024-03-01,2024-03-03,2024-05-03,3,950000,2850000,513000,3363000,Net 60,Paid
4500010013,PR-10013,V003,Reliance Chemicals,West,Rohit Verma,M010,Lubricant Oil,Chemicals,2024-02-18,2024-02-28,2024-03-01,2024-03-31,400,350,140000,25200,165200,Net 30,Paid
4500010014,PR-10014,V005,HCL Technologies,North,Amit Joshi,M002,Annual Maintenance,Services,2024-03-01,2024-03-10,2024-03-12,2024-05-11,1,480000,480000,86400,566400,Net 60,Paid
